GB Experimento Ambiente Tempo
50 2 xen_1 21.6531
50 3 xen_1 21.4614
50 4 xen_1 20.3921
50 5 xen_1 20.3496
50 6 xen_1 20.3587
50 7 xen_1 20.4355
50 8 xen_1 20.2728
50 9 xen_1 21.4725
50 10 xen_1 21.2811
50 11 xen_1 20.3895
50 12 xen_1 20.6507
50 13 xen_1 20.503
50 14 xen_1 21.8037
50 15 xen_1 20.7043
50 16 xen_1 20.6313
50 17 xen_1 20.6075
50 18 xen_1 20.4549
50 19 xen_1 20.5694
50 20 xen_1 20.5538
50 21 xen_1 20.383
50 22 xen_1 20.1473
50 23 xen_1 20.2576
50 24 xen_1 20.4629
50 25 xen_1 20.1553
50 26 xen_1 20.2203
50 27 xen_1 20.568
50 28 xen_1 20.6405
50 29 xen_1 20.5586
50 30 xen_1 20.654
