CPUs Experimento Ambiente Tempo Disco
20 8 nativo 95.54 1381489724
20 9 nativo 95.99 1381309708
20 10 nativo 96.63 1381129692
20 11 nativo 98.76 1381309708
20 12 nativo 94.42 1381489724
20 13 nativo 94.09 1381129692
20 14 nativo 94.31 1381309708
20 15 nativo 95.70 1381129692
20 16 nativo 94.62 1380949676
20 17 nativo 97.72 1381309708
20 18 nativo 94.08 1380949676
20 19 nativo 96.36 1381309708
20 20 nativo 96.61 1381489724
20 21 nativo 94.59 1381309708
20 22 nativo 99.77 1380949676
20 23 nativo 98.12 1381309708
20 24 nativo 94.15 1381309708
20 25 nativo 99.87 1380769660
20 26 nativo 94.06 1381489724
20 27 nativo 94.50 1380949676
20 28 nativo 94.62 1381129692
20 29 nativo 95.26 1381489724
20 30 nativo 97.33 1382029772
1 1 xen 832.14 1379509548
1 2 xen 843.44 1379509548
1 3 xen 850.76 1379509548
1 4 xen 863.15 1379509548
1 5 xen 855.60 1379509548
1 6 xen 848.37 1379509548
1 7 xen 829.57 1379509548
1 8 xen 839.13 1379509548
1 9 xen 828.63 1379509548
1 10 xen 863.37 1379509548
1 11 xen 833.18 1379509548
1 12 xen 863.68 1379509548
1 13 xen 835.15 1379509548
1 14 xen 834.39 1379509548
1 15 xen 865.71 1379509548
1 16 xen 838.81 1379509548
1 17 xen 833.54 1379509548
1 18 xen 848.02 1379509548
1 19 xen 842.41 1379509548
1 20 xen 865.36 1379509548
1 21 xen 835.37 1379509548
1 22 xen 832.01 1379509548
1 23 xen 833.49 1379509548
1 24 xen 842.57 1379509548
1 25 xen 841.43 1379509548
1 26 xen 840.55 1379509548
1 27 xen 835.72 1379509548
1 28 xen 847.23 1379509548
1 29 xen 838.08 1379509548
1 30 xen 827.24 1379509548
2 1 xen 451.90 1379509548
2 2 xen 448.87 1379509548
2 3 xen 454.98 1379689564
2 4 xen 452.30 1379509548
2 5 xen 449.85 1379509548
2 6 xen 452.14 1379509548
2 7 xen 451.03 1379509548
2 8 xen 450.81 1379509548
2 9 xen 451.88 1379689564
2 10 xen 449.83 1379509548
2 11 xen 450.43 1379509548
2 12 xen 453.81 1379689564
2 13 xen 452.72 1379689564
2 14 xen 455.66 1379509548
2 15 xen 452.24 1379689564
2 16 xen 451.31 1379509548
2 17 xen 457.11 1379689564
2 18 xen 452.37 1379689564
2 19 xen 451.90 1379689564
2 20 xen 452.31 1379509548
2 21 xen 454.18 1379509548
2 22 xen 451.05 1379689564
2 23 xen 454.22 1379689564
2 24 xen 451.89 1379509548
2 25 xen 450.35 1379689564
2 26 xen 453.99 1379509548
2 27 xen 453.44 1379509548
2 28 xen 453.68 1379509548
2 29 xen 456.86 1379509548
2 30 xen 452.72 1379509548
4 1 xen 261.73 1379689564
4 2 xen 262.52 1379869580
4 3 xen 259.53 1379689564
4 4 xen 257.45 1379869580
4 5 xen 256.24 1379869580
4 6 xen 260.73 1379689564
4 7 xen 262.54 1379869580
4 8 xen 259.66 1379689564
4 9 xen 260.76 1379869580
4 10 xen 257.07 1379689564
4 11 xen 262.54 1379689564
4 12 xen 263.52 1380049596
4 13 xen 259.53 1379869580
4 14 xen 264.09 1379689564
4 15 xen 263.62 1379869580
4 16 xen 258.04 1379689564
4 17 xen 265.51 1379689564
4 18 xen 265.05 1379689564
4 19 xen 262.31 1379689564
4 20 xen 262.54 1379869580
4 21 xen 262.73 1379869580
4 22 xen 264.11 1379869580
4 23 xen 260.34 1379689564
4 24 xen 270.39 1379869580
4 25 xen 265.40 1379689564
4 26 xen 262.20 1379869580
4 27 xen 268.50 1379869580
4 28 xen 265.63 1379689564
4 29 xen 260.95 1379869580
4 30 xen 261.29 1379509548
8 1 xen 170.14 1380049596
8 2 xen 170.20 1379869580
8 3 xen 172.50 1380049596
8 4 xen 167.91 1380049596
8 5 xen 176.49 1380049596
8 6 xen 171.73 1380229612
8 7 xen 172.50 1379869580
8 8 xen 168.70 1380229612
8 9 xen 175.87 1380229612
8 10 xen 170.76 1380049596
8 11 xen 168.11 1380049596
8 12 xen 172.99 1379869580
8 13 xen 169.79 1380409628
8 14 xen 170.76 1380409628
8 15 xen 168.52 1380049596
8 16 xen 165.46 1380229612
8 17 xen 170.16 1380229612
8 18 xen 172.09 1380049596
8 19 xen 169.72 1380049596
8 20 xen 168.15 1380049596
8 21 xen 165.56 1380409628
8 22 xen 175.00 1380049596
8 23 xen 171.34 1380229612
8 24 xen 164.02 1380229612
8 25 xen 165.77 1379869580
8 26 xen 170.31 1380049596
8 27 xen 168.33 1380409628
8 28 xen 170.08 1380049596
8 29 xen 169.33 1380229612
8 30 xen 169.55 1380049596
10 1 xen 150.44 1380409628
10 2 xen 147.94 1379869580
10 3 xen 155.31 1380589644
10 4 xen 150.28 1380409628
10 5 xen 153.50 1380409628
10 6 xen 154.66 1380229612
10 7 xen 146.11 1380229612
10 8 xen 158.12 1380589644
10 9 xen 149.74 1380049596
10 10 xen 152.04 1380049596
10 11 xen 147.88 1380409628
10 12 xen 146.48 1380229612
10 13 xen 149.22 1380409628
10 14 xen 150.76 1380409628
10 15 xen 153.39 1380049596
10 16 xen 151.90 1380229612
10 17 xen 152.45 1380409628
10 18 xen 147.58 1380409628
10 19 xen 151.38 1380409628
10 20 xen 156.13 1380229612
10 21 xen 150.10 1380409628
10 22 xen 152.65 1380229612
10 23 xen 149.88 1380229612
10 24 xen 154.64 1380229612
10 25 xen 152.84 1380229612
10 26 xen 155.61 1380409628
10 27 xen 150.77 1380589644
10 28 xen 149.59 1380589644
10 29 xen 154.99 1379869580
10 30 xen 154.04 1380589644
16 1 xen 137.72 1380769660
16 2 xen 137.12 1380589644
16 3 xen 139.69 1380769660
16 4 xen 137.14 1380949676
16 5 xen 135.11 1380949676
16 6 xen 135.64 1380589644
16 7 xen 139.58 1380589644
16 8 xen 135.09 1380769660
16 9 xen 137.90 1380769660
16 10 xen 139.21 1380949676
16 11 xen 137.16 1380949676
16 12 xen 135.07 1380949676
16 13 xen 137.66 1380769660
16 14 xen 138.16 1380949676
16 15 xen 140.37 1380769660
16 16 xen 139.97 1380949676
16 17 xen 138.61 1380769660
16 18 xen 141.19 1381129692
16 19 xen 136.76 1380949676
16 20 xen 137.79 1380769660
16 21 xen 137.04 1380769660
16 22 xen 134.14 1381129692
16 23 xen 137.95 1380949676
16 24 xen 137.30 1380949676
16 25 xen 137.23 1380589644
16 26 xen 137.26 1381129692
16 27 xen 136.23 1380769660
16 28 xen 137.23 1380769660
16 29 xen 134.59 1380949676
16 30 xen 139.43 1381129692
20 1 xen 132.66 1380949676
20 2 xen 130.21 1380949676
20 3 xen 127.33 1381129692
20 4 xen 131.64 1381309708
20 5 xen 131.08 1380949676
20 6 xen 131.85 1381309708
20 7 xen 132.46 1381309708
20 8 xen 131.68 1380949676
20 9 xen 128.31 1380949676
20 10 xen 129.94 1381489724
20 11 xen 129.04 1381309708
20 12 xen 130.99 1380949676
20 13 xen 132.33 1381489724
20 14 xen 130.53 1381309708
20 15 xen 130.36 1381309708
20 16 xen 132.66 1381489724
20 17 xen 130.68 1381309708
20 18 xen 131.94 1381489724
20 19 xen 127.47 1381309708
20 20 xen 130.45 1381489724
20 21 xen 131.97 1381309708
20 22 xen 127.67 1381309708
20 23 xen 130.79 1380949676
20 24 xen 133.29 1381309708
20 25 xen 130.89 1380769660
20 26 xen 130.86 1381129692
20 27 xen 135.81 1381309708
20 28 xen 128.06 1381669740
20 29 xen 131.25 1381309708
20 30 xen 129.22 1381129692
1 1 kvm 999.96 1379509548
1 2 kvm 1000.28 1379509548
1 3 kvm 999.48 1379509548
