GB Experimento Ambiente Tempo
10 22 nativo 285.861
10 23 nativo 288.538
10 24 nativo 257.29
10 25 nativo 235.837
10 26 nativo 242.344
10 27 nativo 234.149
10 28 nativo 238.026
10 29 nativo 237.722
10 30 nativo 227.774
1 1 xen_1 62.8666
1 2 xen_1 63.3064
1 3 xen_1 39.4113
1 4 xen_1 38.5146
1 5 xen_1 38.7457
1 6 xen_1 38.7782
1 7 xen_1 39.0399
1 8 xen_1 38.3909
1 9 xen_1 38.6637
1 10 xen_1 38.484
1 11 xen_1 38.5558
1 12 xen_1 38.3514
1 13 xen_1 38.902
1 14 xen_1 38.7949
1 15 xen_1 38.3854
1 16 xen_1 38.9259
1 17 xen_1 38.8641
1 18 xen_1 38.4365
1 19 xen_1 38.7745
1 20 xen_1 38.7351
1 21 xen_1 38.2221
1 22 xen_1 38.1602
1 23 xen_1 37.6864
1 24 xen_1 37.8496
1 25 xen_1 38.1157
1 26 xen_1 38.888
1 27 xen_1 38.6017
1 28 xen_1 39.2938
1 29 xen_1 38.2045
1 30 xen_1 40.4162
10 1 xen_1 480.055
10 2 xen_1 368.87
10 3 xen_1 385.816
10 4 xen_1 410.009
10 5 xen_1 397.165
10 6 xen_1 402.181
10 7 xen_1 385.281
10 8 xen_1 414.445
10 9 xen_1 414.192
10 10 xen_1 385.029
10 11 xen_1 390.101
10 12 xen_1 385.081
10 13 xen_1 380.181
10 14 xen_1 385.34
10 15 xen_1 385.133
10 16 xen_1 391.1
10 17 xen_1 391.889
10 18 xen_1 383.017
10 19 xen_1 381.169
10 20 xen_1 387.505
10 21 xen_1 389.597
10 22 xen_1 387.745
10 23 xen_1 381.236
10 24 xen_1 388.944
10 25 xen_1 409.586
10 26 xen_1 376.205
10 27 xen_1 382.06
10 28 xen_1 373.881
10 29 xen_1 372.053
10 30 xen_1 380.476
